name_score,number_features,train,valid
recall,20,0.77668611344924,0.7792428097771609
f1,20,0.848598307085268,0.8500990205516574
roc_auc,20,0.9820110090230386,0.9800834637449718
accuracy,21,0.999518603025547,0.9995208011852478
precision,21,0.9344196910760378,0.9359512965889024
recall,21,0.7766812759411371,0.7767175572519084
f1,21,0.8480570473147903,0.8484699170274025
roc_auc,21,0.9820969120188323,0.9802196058634233
accuracy,22,0.999518603025547,0.9995208011852478
precision,22,0.9331278324905892,0.9331828199752729
recall,22,0.7779487030640776,0.7792620865139949
f1,22,0.8482611081249116,0.8488026897161478
roc_auc,22,0.982106731134247,0.979887668334798
accuracy,23,0.9995142067061455,0.9995164048658464
precision,23,0.9329208950919478,0.9329526538912533
recall,23,0.775409011310094,0.7767175572519084
f1,23,0.8466917717284982,0.8469996081830152
roc_auc,23,0.982380672033844,0.980186274620355
accuracy,24,0.9995164048658464,0.9995208011852478
precision,24,0.9330201014411541,0.9331663291049285
recall,24,0.7766812759411371,0.7792620865139949
f1,24,0.8474720028684525,0.8486584614105666
roc_auc,24,0.9823034193345471,0.9802198784901921
accuracy,25,0.999518603025547,0.9995208011852478
precision,25,0.9331273578190619,0.9331828199752729
recall,25,0.7779438655559748,0.7792620865139949
f1,25,0.848305042964819,0.8488026897161478
roc_auc,25,0.9819889390804507,0.9798658918067856
accuracy,26,0.999518603025547,0.9995164048658464
precision,26,0.9331273578190619,0.9302732802115626
recall,26,0.7779438655559748,0.7792620865139949
f1,26,0.848305042964819,0.8476423929614626
roc_auc,26,0.9822208476378304,0.9800778388924586
accuracy,27,0.9995142067061455,0.9995208011852478
precision,27,0.9315222989713178,0.9330547533220566
recall,27,0.77668611344924,0.779223533040327
f1,27,0.8467467132301841,0.8490288998629022
roc_auc,27,0.9820509792855981,0.9803194524665223
accuracy,28,0.9995208011852478,0.9995032159076421
precision,28,0.9332407407407407,0.9322919249524754
recall,28,0.7792161301870181,0.769045415991981
f1,28,0.8490019509009329,0.8427289602221991
roc_auc,28,0.9825392038518763,0.9804431267283248
accuracy,29,0.9995208011852478,0.999533990143452
precision,29,0.9318579640913764,0.9362675405833073
recall,29,0.7804787198018558,0.7843125915645
f1,29,0.8492877700893041,0.8532335992529197
roc_auc,29,0.9823947162685362,0.9799804038453047
accuracy,30,0.9995054140673428,0.9994856306300366
precision,30,0.9337005260602549,0.9339927048260382
recall,30,0.7690718756953917,0.7563227696815483
f1,30,0.843299794159028,0.8352880658436215
roc_auc,30,0.9828056394572791,0.9801500960752737
