name_score,number_features,train,valid
f1,9,0.8350497669486636,0.8323906216735935
roc_auc,9,0.9797226466043248,0.9783813299701942
accuracy,10,0.9994911259737178,0.9994856300308179
precision,10,0.93446090784101,0.9352641467727676
recall,10,0.7595057263411694,0.7562155144433625
f1,10,0.8378902258078069,0.8351878244707962
roc_auc,10,0.9801072825174344,0.9787535437458358
accuracy,11,0.9995043149548735,0.999494422785588
precision,11,0.9350676426217264,0.9356089743589744
recall,11,0.7671267832027325,0.7613437195715677
f1,11,0.8427909772558462,0.8386405098927912
roc_auc,11,0.9798157211523784,0.9785472468748526
accuracy,12,0.9995142066590311,0.9995076118211046
precision,12,0.9354948066020681,0.9362478505101457
recall,12,0.7728370504319871,0.7689711132749107
f1,12,0.8463898503417612,0.8435707583738902
roc_auc,12,0.9789925618449618,0.977639458445751
accuracy,13,0.9995109094303517,0.9995032154437196
precision,13,0.9353355512304719,0.9361257463997191
recall,13,0.7709403254972875,0.7664070107108082
f1,13,0.8451926077360987,0.8417729889315092
roc_auc,13,0.9787135139037032,0.9774363386194601
accuracy,14,0.9995208011465889,0.999516404285959
precision,14,0.9358071156975424,0.9364432067171794
recall,14,0.776646574241511,0.7740019474196689
f1,14,0.8488005902142095,0.8466975000268583
roc_auc,14,0.9786116810759099,0.9769739904182032
accuracy,15,0.999501017689955,0.999494422785588
precision,15,0.9342066840001182,0.930594050172721
recall,15,0.7658549326903757,0.7664394677052905
f1,15,0.8416497192992649,0.8398246013486801
roc_auc,15,0.9787908775809046,0.9770191915329889
accuracy,16,0.9995032158726073,0.999498819162973
precision,16,0.9350058154519004,0.9357719837308848
recall,16,0.7664918625678119,0.7638753651411879
f1,16,0.8423865906475927,0.8404554865424432
roc_auc,16,0.9791478959931228,0.9771428727661208
accuracy,17,0.9995065131012867,0.9994988188730574
precision,17,0.9344603668084444,0.9304764993378007
recall,17,0.7690315451074945,0.7689386562804283
f1,17,0.8436749057105807,0.8412076299453368
roc_auc,17,0.9775116039559679,0.9754900926260657
accuracy,18,0.9995164048235636,0.999516404285959
precision,18,0.9356239306019164,0.9335114985347834
recall,18,0.7741028732167973,0.7765985069782538
f1,18,0.8471823307333924,0.8474769292010672
roc_auc,18,0.982655646298077,0.9812969606019182
accuracy,19,0.9995229993171616,0.9995251969440904
precision,19,0.9359206078786311,0.9367063474926152
recall,19,0.7779144062688366,0.7790976955533917
f1,19,0.8496042039805773,0.8499821710537349
roc_auc,19,0.9822123101996072,0.9802695541560371
accuracy,20,0.9995273956220672,0.9995164040926818
precision,20,0.936114263632537,0.9313098346994788
recall,20,0.7804520795660036,0.7790652385589094
f1,20,0.8511517301811246,0.8476380725796645
roc_auc,20,0.9821783734146676,0.9800358573091437
accuracy,21,0.9995175038937504,0.9994900263115645
precision,21,0.9362965135306556,0.9275919337479713
recall,21,0.7741028732167973,0.7664070107108082
f1,21,0.8474532080881823,0.8383393213331282
roc_auc,21,0.9818738456992333,0.9793601116384337
accuracy,22,0.9995273956039477,0.9995120078119353
precision,22,0.9354645415053797,0.9278827871731533
recall,22,0.7810769539883463,0.7790652385589094
f1,22,0.8512469806080141,0.8463598921225997
roc_auc,22,0.9820566028684905,0.9795185171188228
accuracy,23,0.9995175039118699,0.9994988188730574
precision,23,0.9343516768048674,0.9250162064298848
recall,23,0.7760096443640746,0.7739694904251866
f1,23,0.8478175836314907,0.8419737512496583
roc_auc,23,0.9823287242783005,0.9794610568027264
accuracy,24,0.9995197020703627,0.9994988188730574
precision,24,0.9351186986592577,0.9250162064298848
recall,24,0.7766445649989953,0.7739694904251866
f1,24,0.8485147963593557,0.8419737512496583
roc_auc,24,0.9824164874552205,0.9795172160245208
accuracy,25,0.9995131075707249,0.9994856300308179
precision,25,0.9347744734255141,0.9245551408561145
recall,25,0.772833031946956,0.7663745537163259
f1,25,0.8460721698825198,0.8370586663345735
roc_auc,25,0.9822877720949975,0.978827014580473
accuracy,26,0.9995131075767647,0.9994900263115643
precision,26,0.9354302286151503,0.9247416210425946
recall,26,0.7722001205545508,0.7689061992859461
f1,26,0.8459668298124401,0.8386487046487499
roc_auc,26,0.9822160523178278,0.9784548671080258
accuracy,27,0.9995109093941125,0.9994900264082031
precision,27,0.9353196749565006,0.9272522480763884
recall,27,0.7709282700421941,0.7663745537163259
f1,27,0.8451154523909745,0.8383118664443217
roc_auc,27,0.9819828916637292,0.9782832030841119
